id,name,slug,image,description,price,stock,available,created,updated,category_id
11,Puppy Teething Rings Chew Toy,puppy-teething-rings-chew-toy,photos/2025/04/14/toy7.webp,"Puppy Teething Rings chew toy is made with soft, textured, puppy-friendly material to satisfy the chewing needs of teething pups and encourages positive chewing habits from a young age. The bristles raised during chewing will help clean teeth and prevent tartar buildup. The perfect puppy teething toy for pups who love to chew! (This chew toy is not for puppies with adult teeth or for powerful chewers",68,12,True,2025-04-14 03:46:26.388196+00:00,2025-04-14 03:46:26.388225+00:00,2
12,Flaxseed Oil Dog Food Supplement,flaxseed-oil-dog-food-supplement,photos/2025/04/14/supp1.webp,Made in New Zealand. 100% cold-pressed flaxseed oil with no preservative. Formulated specially for pets with a 4:1 omega ratio. Omega 3 content is double that of fish oil. High palatability with no fishy odour,248,13,True,2025-04-14 03:48:29.983174+00:00,2025-04-14 03:48:29.983193+00:00,1
13,SeaMeal General Health Supplement Powder for Dogs & Cats,seameal-general-health-supplement-powder-for-dogs-cats,photos/2025/04/14/supp2.webp,"Supports Skin & Coat, Digestive & Immune Health
is formulated with dried seaweed meal, flaxseed meal, dried lemon, pineapple and other nutritious and wholesome ingredients.",348,23,True,2025-04-14 03:49:43.741859+00:00,2025-04-14 03:49:43.741894+00:00,1
14,Lactose Free Pet Milk,lactose-free-pet-milk,photos/2025/04/14/supp3.webp,"Zeal® Lactose-Free pet milk is specifically formulated for: adult dogs and puppies and adult cats and kittens. Made from fresh New Zealand whole cows' milk, it is rendered 99.5% lactose-free, therefore easy to digest for pets while maintaining all the natural goodness and taste.",38,45,True,2025-04-14 03:52:06.448591+00:00,2025-04-14 03:52:06.448639+00:00,1
15,Omega-3 Plus Supplement for Dogs and Cats,omega-3-plus-supplement-for-dogs-and-cats,photos/2025/04/14/supp4.webp,"Omega-3 Plus contains re-esterified triglycerides (rTG), allowing for better absorption. Our Omega-3 is rich in EPA and DHA, acting as an anti-inflammatory that may assist in joint, cognitive, kidney, blood and heart functions. Having the perfect balance of Omega-3 & Omega-6 is vital to keeping the inflammation levels low in your pets body.
Daily feeding guide,Body Weight Cat/Toy Dog (<6kg) Daily Quantity 1-2 Caps.
Body Weight Cat/Samll Dog (6-12kg) Daily Quantity 3-4 Caps.
Body Weight Medium Dog (12-20kg) Daily Quantity 5-6 Caps.
Body Weight Large Dog (<20kg) Daily Quantity 8-10 Caps",268,34,True,2025-04-14 03:50:29.182754+00:00,2025-04-14 03:53:16.898084+00:00,1
16,Super Shrooms Powered Pet Supplement,super-shrooms-powered-pet-supplement,photos/2025/04/14/supp5.webp,"Super Shrooms contain bioactive compounds that have the ability to neutralize toxins, promote protective enzymes and decrease oxidative stress.

Super Shrooms are dense in molecules known as Beta-glucans. Beta-glucans are known for immune system support and re-building connective tissue to promote healthy joints.",238,34,True,2025-04-14 03:54:07.347712+00:00,2025-04-14 03:54:07.347730+00:00,1
17,Front Range Dog Leash,front-range-dog-leash,photos/2025/04/14/access1.webp,"The Front Range Leash combines a strong connection with an elegant design for a lightweight, comfortable walking experience. Inspired by the customer-favorite Front Range Harness, the Front Range Leash includes a padded, ergonomic handle, unique Ruffwear-designed hardware, and bright, bold design. Sturdy yet light, the Front Range Leash keeps you comfortably connected to your canine companion wherever your adventures take you. Try our matching Front Range Harness and Front Range Collar (sold separately) for the complete setup.",196,23,True,2025-04-14 03:55:35.279786+00:00,2025-04-14 03:55:35.279814+00:00,3
18,Fresh Element Solo Smart Pet Feeder,fresh-element-solo-smart-pet-feeder,photos/2025/04/14/access2.webp,"PETKIT Fresh Element Solo Auto Pet Feeder Compatible with dry pet food and freeze-dried pet food (kibble<12mm). The freeze-dried food should be less than 20% of the whole food portion. Washable and detachable food storage container. Duo-lock systems to keep food fresh. Built with generation 2 enhanced impeller. Schedule feedings and monitor food/device status via the app (Apple/Android). Built-in backstory to prevent power outrage. Offline feeding available. Up to 50g food each dispense time.
Product dimension: 31.6 x 29.6 x 16.7 cm",688,12,True,2025-04-14 03:56:15.828404+00:00,2025-04-14 03:56:15.828437+00:00,3
19,Multi-Clicker,multi-clicker,photos/2025/04/14/access3.webp,Click training is a great way to teach your dog new commands. The Company of Animals Multi-Clicker is a great multi-purpose accessory â€“ simple to use and perfect for puppies and dogs of all ages.,58,23,True,2025-04-14 03:57:04.281474+00:00,2025-04-14 03:57:04.281499+00:00,3
20,Fresh Element Desiccant,fresh-element-desiccant,photos/2025/04/14/access4.webp,"Keep your pet's food fresh and free from moisture with our Fresh Element Desiccant. Designed to fit all Petkit smart feeders, this odorless desiccant is perfect for preserving the quality of your pet's food or any other items that need protection from moisture. Each pack contains 5 pieces, making it convenient and cost-effective for regular use.

Say goodbye to stale and spoiled pet food with our Fresh Element Desiccant. Its high moisture absorption properties ensure that your pet's food stays fresh and tasty for longer. Don't let moisture ruin your pet's mealtime, add our desiccant to your cart now!

Product Dimensions ‏ : ‎ 7.09 x 5.51 x 1.18 inches; 4.94 ounces",24,34,True,2025-04-14 03:57:42.014157+00:00,2025-04-14 03:57:42.014179+00:00,3
